"160,6500 - 160,9750",Cywilne,,FM,"12,5","Żegluga morska i śródlądowa [simplex, duosimplex]"
"160,9750 - 161,4750",Rządowe,,,,Zapisane w krajowej tablicy przeznaczeń częstotliwości
"161,4750 - 162,0250",Cywilne,,FM,"12,5","Żegluga morska i śródlądowa [simplex, duosimplex]"
"162,0250 - 162,2500",Rządowe,,,,Zapisane w krajowej tablicy przeznaczeń częstotliwości
"162,8000 - 163,1250",Cywilne,,FM,"12,5","Sieci taxi, ochrony mienia, budownictwo, transport, monitoring sieci alarmowych [simplex, duosimplex]"
"163,1375 - 163,2000",Rządowe,,FM,"12,5",Sieć Zarządzania Urzędów Wojewódzkich
"163,2125 - 164,1000 ",Cywilne,,FM,"12,5","Sieci taxi, ochrony mienia, budownictwo, transport, monitoring sieci alarmowych [simplex, duosimplex]"
"164,1000 - 164,3500",Cywilne,,FM,"12,5",Byłe pasmo TPSA
"164,3500 - 164,5000",Cywilne,,FM,"12,5","Sieci taxi, ochrony mienia, budownictwo, transport, monitoring sieci alarmowych [simplex, duosimplex]"
"164,5125 - 167,4875",Rządowe,,FM,"12,5","Policja Państwowa, Straż Graniczna, PSP, BOR, ABW, CBS i inne służby"
"167,5000 - 168,5000",Cywilne,,FM,"12,5",Byłe pasmo TPSA
"168,5250 - 169,1500",Rządowe/Cywilne,X,FM,"12,5","Służba zdrowia [simplex,dusimplex]"
"169,1625 - 169,4000",Rządowe,,FM,"12,5",Wojsko (logistyka / służby medyczne)
"169,4000 - 169,4250",Cywilne,,FM,"12,5","systemy zdalnego odczytu liczników (do mocy 500mW), systemy śledzenia mienia, itp."
"169,4250 - 169,8125",Cywilne,,FM,"12,5","Sieć Pager, standard ERMES - po nowelizacji w 2007 moze tu byc wszystko, choc glownie cyfra i monitoring, jakies radiodostepy"
"169,8125 - 170,5875",Cywilne,,FM,"12,5","Sieci taxi, ochrony mienia, budownictwo, transport, monitoring sieci alarmowych [simplex, duosimplex]"
"170,6000 - 170,8875",Rządowe,,FM,"12,5",Służba Celna i Słuzba Więzienna
"170,9000 - 172,0000",Cywilne,,FM,"12,5","Sieci taxi, ochrony mienia, budownictwo, transport, monitoring sieci alarmowych"
"172,0125 - 173,9875",Rządowe,X,FM,"12,5","Policja, Straż Graniczna, inne służby"
"174,0000 - 225,0000",Cywilne,,,,Radiodyfuzja
"225,0000 - 328,6000",Rządowe,,AM,25,Wojsko - lotnictwo
"328,6000 - 335,4000",,,,,"Radionawigacja lotnicza, ILS"
"335,4000 - 380,0000",Rządowe,,AM,25,Wojsko - lotnictwo
"380,0000 - 383,0000",Rządowe ,,,,TETRA - Policja i inne słuzby
"390,0000 - 393,0000",Rządowe ,,,,TETRA - Policja i inne słuzby
"406,0000 - 406,1000",Rządowe/Cywilne,,,,Radiopławy do lokalizacji awarii EPIRBs (komunikacja morska)
"410,0000 - 412,0000",Rządowe,,FM,"12,5","Wojsko (sieci dyspozytorskie) [simplex, duosimplex]"
"412,0000 - 412,5000",Cywilne,,,,Systemy szerokopasmowe
"412,5000 - 415,0000",Cywilne,,,,Nordisk Polska - CDMA420
"415,0000 - 415,0625",Pasmo ochronne,,,,
"415,0625 - 416,2000",Cywilne,,,25,TETRA cywilna
"416,2000 - 417,8750",Cywilne,,FM,"12,5","Sieci dyspozytorskie - [simplex, duosimplex, duplex] - odst, +10 MHz"
"417,5000 - 418,5000",Cywilne,X,FM,"12,5","Trunking Energetyki - MPT1327, uplink - downlink +10 MHz"
"418,5000 - 419,0000",Cywilne,,,,"Sieci dyspozytorskie - [simplex, duosimplex, duplex] - odst, +10 MHz"
"419,0000 - 419,2125",Cywilne,,,,PGNiG + Exatel
"419,2125 - 420,0000",Cywilne,,FM,"12,5","Sieci dyspozytorskie - [simplex, duosimplex, duplex] - odst, +10 MHz"
"420,0000 - 422,0000",Rządowe,,FM,"12,5","Wojsko (sieci dyspozytorskie) [simplex, duosimplex]"
"422,0000 - 422,5000",Cywilne,,,,Systemy szerokopasmowe
"422,5000 - 425,0000",Cywilne,,,,Nordisk Polska - CDMA420
"425,0000 - 425,0625",Pasmo ochronne,,,,
"425,0625 - 426,2000",Cywilne,,,,TETRA cywilna
"426,2000 - 427,5000",Cywilne,,FM,"12,5","Sieci dyspozytorskie - [simplex, duosimplex, duplex] - odst, -10 MHz"
"427,5000 - 428,5000",Cywilne,X,FM,"12,5","Trunking Energetyki - MPT1327, downlink - uplink -10 MHz"
"428,5000 - 429,0000",Cywilne,,FM,"12,5","Sieci dyspozytorskie - [simplex, duosimplex, duplex] - odst, -10 MHz"
"429,0000 - 429,2125",Cywilne,,,,PGNiG + Exatel
